Rezepte;Vorspeise;Hauptspeise;Nachspeise;Vegetarisch;Japanisch;Schweizerisch;Italienisch;Griechisch;Deutsch;Thailändisch;Mexicanisch;Indisch
Nudeln;;1;;1;1;;;;;;;
Kuchen;;;1;1;;1;;;;;;
Parmigiana;;1;;1;;;1;;;;;
Lasagne;;1;;;;;1;;;;;
Bruschetta;1;;;1;;;1;;;;;
Panna cotta;;;1;;;;1;;;;;
Panforte;;;1;1;;;1;;;;;
Matcha-Kokos-Schnitten;;;1;1;1;;;;;;;
Goma Ae;1;;;1;1;;;;;;;
Agedashi Nasu;1;;;;1;;;;;;;
Miso-Ramen-Nudelsuppe;;1;;1;1;;;;;;;
Moussaka;;1;;;;;;1;;;;
Tzatziki;1;;;1;;;;1;;;;
Baklava;;;1;;;;;1;;;;
Gurkensalat;1;;;1;;;;;1;;;
Rinderrouladen mit Rotkohl und Kartoffelklšssen;;1;;;;;;;1;;;
Apfelstrudel mit Vanillesauce;;;1;1;;;;;1;;;
Pad Thai;;1;;;;;;;;1;;
Tom Kha Gai;;1;;;;;;;;1;;
Som Tam;1;;;;;;;;;1;;
Tom Yum Suppe;1;;;;;;;;;1;;
Mango mit klebrigem Reis;;;1;1;;;;;;1;;
Banana Roti;;;1;1;;;;;;1;;
Spaghetti Carbonara;;1;;;;;1;;;;;
Tortilla-Flammkuchen;;1;;;;;;;;;1;
Älplermagronen;;1;;;;1;;;;;;
Flammkuchen;;1;;;;1;;;;;;
Gefüllte Zucchini mit Hackfleisch;;1;;;;1;;;;;;
Gyoza mit Pilzfüllung;1;;;;1;;;;;;;
Nachos;1;;;1;;;;;;;1;
Knoblauchbrot;1;;;1;;1;;;;;;
Gebrannte Mandeln;;;1;1;;1;;;;;;
Schokoladen-Cake;;;1;1;;1;;;;;;
Gefüllte Peperoni;;1;;;;1;;;;;;
Lauch-Speck-Wähe;;1;;;;1;;;;;;
Butter Chicken;;1;;;;;;;;;;1
Chicken Tikka Masala;;1;;;;;;;;;;1
Chicken Korma;;1;;;;;;;;;;1
Pakora;1;;;1;;;;;;;;1
Vegetarische Samosa;1;;;1;;;;;;;;1
Paneer Tikka;1;;;1;;;;;;;;1
Kheer;;;1;1;;;;;;;;1
Gulab Jamun;;;1;1;;;;;;;;1
Rasmalai;;;1;1;;;;;;;;1
